2, 0.000000, 0.465000, 1, 1, 
4, 0.000000, 2.910000, 6, 1, 
6, 0.000000, 7.505000, 15, 1, 
8, 0.000000, 14.120000, 25, 3, 
10, 0.000000, 22.070000, 35, 9, 
12, 0.000000, 32.560000, 55, 13, 
14, 0.000000, 46.755000, 71, 19, 
16, 0.000000, 59.535000, 87, 29, 
18, 0.000001, 76.380000, 115, 39, 
20, 0.000001, 94.580000, 138, 48, 
22, 0.000001, 118.385000, 165, 73, 
24, 0.000001, 136.550000, 193, 84, 
26, 0.000001, 163.960000, 243, 85, 
28, 0.000001, 190.370000, 253, 125, 
30, 0.000001, 216.650000, 296, 123, 
32, 0.000001, 247.945000, 314, 156, 
34, 0.000001, 279.440000, 359, 161, 
36, 0.000002, 310.205000, 420, 211, 
38, 0.000002, 352.840000, 453, 213, 
40, 0.000002, 392.980000, 522, 275, 
42, 0.000002, 425.815000, 534, 314, 
44, 0.000003, 471.780000, 580, 332, 
46, 0.000002, 514.200000, 639, 367, 
48, 0.000002, 567.285000, 679, 441, 
50, 0.000002, 611.400000, 800, 414, 
52, 0.000002, 660.210000, 783, 487, 
54, 0.000003, 720.480000, 903, 533, 
56, 0.000003, 772.015000, 979, 591, 
58, 0.000003, 828.145000, 987, 619, 
60, 0.000004, 882.710000, 1053, 696, 
62, 0.000004, 947.550000, 1190, 732, 
64, 0.000004, 1002.720000, 1274, 784, 
66, 0.000005, 1061.540000, 1311, 806, 
68, 0.000004, 1136.120000, 1349, 913, 
70, 0.000005, 1192.140000, 1444, 949, 
72, 0.000006, 1283.790000, 1511, 1018, 
74, 0.000006, 1342.805000, 1597, 1083, 
76, 0.000006, 1427.335000, 1721, 1101, 
78, 0.000005, 1492.670000, 1806, 1088, 
80, 0.000005, 1581.600000, 1866, 1247, 
82, 0.000005, 1658.650000, 2021, 1398, 
84, 0.000006, 1741.445000, 2140, 1299, 
86, 0.000006, 1828.730000, 2189, 1464, 
88, 0.000006, 1914.865000, 2321, 1475, 
90, 0.000007, 1989.800000, 2335, 1574, 
92, 0.000007, 2101.240000, 2581, 1770, 
94, 0.000007, 2194.680000, 2624, 1741, 
96, 0.000008, 2296.380000, 2768, 1779, 
98, 0.000007, 2390.875000, 2782, 2042, 
100, 0.000008, 2465.865000, 2913, 2064, 
102, 0.000008, 2549.395000, 3070, 2165, 
104, 0.000008, 2699.415000, 3213, 2319, 
106, 0.000009, 2787.955000, 3272, 2323, 
108, 0.000009, 2914.000000, 3456, 2427, 
110, 0.000009, 2977.785000, 3399, 2333, 
112, 0.000010, 3112.750000, 3615, 2517, 
114, 0.000010, 3198.020000, 3730, 2754, 
116, 0.000010, 3336.855000, 3837, 2859, 
118, 0.000010, 3455.685000, 4022, 2905, 
120, 0.000010, 3572.325000, 4249, 2769, 
122, 0.000011, 3660.790000, 4305, 3174, 
124, 0.000011, 3823.385000, 4545, 3243, 
126, 0.000012, 3946.835000, 4430, 3286, 
128, 0.000011, 4066.695000, 4932, 3482, 
130, 0.000012, 4213.510000, 4808, 3546, 
132, 0.000012, 4319.020000, 4967, 3699, 
134, 0.000012, 4432.980000, 5121, 3688, 
136, 0.000013, 4551.475000, 5077, 3876, 
138, 0.000013, 4730.720000, 5485, 4017, 
140, 0.000013, 4835.780000, 5458, 4110, 
142, 0.000014, 5020.555000, 5827, 4381, 
144, 0.000014, 5154.200000, 6176, 4232, 
146, 0.000014, 5267.380000, 6093, 4487, 
148, 0.000015, 5428.450000, 6716, 4500, 
150, 0.000015, 5600.865000, 6280, 4835, 
152, 0.000016, 5768.830000, 6687, 4772, 
154, 0.000016, 5895.145000, 6694, 4855, 
156, 0.000017, 6030.055000, 6832, 5278, 
158, 0.000020, 6225.000000, 7076, 5423, 
160, 0.000018, 6349.380000, 7194, 5391, 
162, 0.000018, 6491.565000, 7402, 5551, 
164, 0.000019, 6715.220000, 7715, 5484, 
166, 0.000019, 6876.375000, 7916, 5975, 
168, 0.000019, 7021.265000, 8043, 5980, 
170, 0.000019, 7156.180000, 8008, 6313, 
172, 0.000020, 7340.150000, 8530, 6188, 
174, 0.000020, 7535.820000, 8726, 6670, 
176, 0.000021, 7700.905000, 8758, 6508, 
178, 0.000021, 7883.140000, 8864, 6873, 
180, 0.000022, 8100.805000, 9109, 6841, 
182, 0.000022, 8249.065000, 9295, 6712, 
184, 0.000023, 8426.035000, 9384, 7244, 
186, 0.000023, 8597.560000, 9726, 7783, 
188, 0.000024, 8822.365000, 10329, 7518, 
190, 0.000024, 9010.055000, 10422, 7704, 
192, 0.000025, 9216.110000, 10566, 8069, 
194, 0.000025, 9348.165000, 10732, 8336, 
